FIN_GBR FIN_TSI FIN_YRI GBR_TSI GBR_YRI TSI_YRI
ENSG00000077549 0.0429750824568269 0.0535551659370948 0.193452030331872 0 0.0714130891707973 0.0524253224242708
ENSG00000173436 0 0.00438879396155134 0 0 0 0.0112078004073422
ENSG00000158747 0.159664486567027 0.191942478284938 0.0439679526584687 0.00180226779887514 0.276015659391066 0.291209499580173
ENSG00000158748 0 0.0015218644564503 0.0077933221126156 0 0.00523646685523361 0.00158005546946517
ENSG00000162542 0 0 0.0093313320811776 0.0106994786565511 0.0181131482189417 0.0032638633181417
ENSG00000169914 0.00106507621513736 0.0106283376120722 0.040712702852753 0 0.0150503820552547 0
ENSG00000162545 0.00892844962901681 0.185291566812567 0.31498533758342 0.131230715491861 0.282279553855101 0.0612933564209397
ENSG00000090432 0.00359349608153839 0.0252485985334073 0.00434564430728386 0.00217146771745464 0 0
ENSG00000158828 0.0176184920450655 0 0.0616246024197606 0.0297095035519034 0.150273032699505 0.0456559207455227
ENSG00000244038 0.136281101204634 0.0473576682120681 0.0117377780581659 0.0220627833971243 0.238168079392283 0.127448622694371
ENSG00000189410 0 0.00143048161959753 0.0184907271061152 0 0.0159189391128077 0.0334981686960808
ENSG00000127483 0 0.00477537463662818 0.0234654218835315 0 0.0444375823873697 0.0696286563068347
ENSG00000075151 0.0169081640022948 0.0398521789174482 0.00738758076047648 0.00245884003344848 0.0210204027717289 0.0229866472472055
ENSG00000117298 0.0148235281476109 0.0305964652093878 0.0688737109318174 0.00601161381821154 0.0648273603380687 0.0223190616755865
ENSG00000142794 0 0.0445782498574187 0.0263795504443333 0.0221895393053471 0.0483828066323152 0.147484000273391
ENSG00000162551 0 0 0.0427415808132112 0 0.0466966504014177 0.0255484435063572
ENSG00000076864 0.0639347574526918 0.0605505647333344 0.114291037595637 0 0.01765164363022 0.0159123453517863
ENSG00000090686 0.00115863207143998 0.0108369107296759 0.33515518002146 0 0.30443746861391 0.251935463991342
ENSG00000187942 0 0 0.0128306774005133 0 0.0435536089423727 0.0187475150738481
ENSG00000142798 0.0183497884015685 0.0550065484413564 0.018886027214209 0.0146056483758415 0 0.0122186374374948
ENSG00000070831 0.000218832260494614 0.022454255440229 0.0198101963085797 0 0 0
ENSG00000162552 0.0480519134827305 0.119701183295279 0.282160390264507 0.0158452859141177 0.160172768913068 0.0722331849582668
ENSG00000184677 0 0 0.0782357389406301 0.00750357455518128 0.0473974285271208 0.0810097141468916
ENSG00000133216 0.0436818855153999 0.0138813043445922 0.0279463136107609 0.0372237034744732 0.00732709428840307 0.00435097163416331
ENSG00000004487 0.0019093290976589 0.0155353508315964 0.204784547081109 0.0328458764343807 0.26081868680799 0.117724946555626
ENSG00000169641 0.206318085838076 0.0448275275915519 0.345202296975663 0.0686117156448772 0.0882199184366408 0.219223037494116
ENSG00000125944 0.000617113101337197 0 0.0447603119377916 0.00783460693665992 0.0110564373503576 0.066255369439166
ENSG00000125945 0 0.00091397489733456 0.092781901897535 0 0.124011112230847 0.142528670840131
ENSG00000249087 0.0114225399979535 0 0 0.0416882912366198 0.0303514304860544 0
ENSG00000204219 0.0548937227230231 0.0159521853860831 0.22979655452579 0.00624950628453458 0.11294556702736 0.123172800865015
ENSG00000007968 0 0.0564918986377268 0.245400113380606 0.0823028033588541 0.282046815042335 0.0914037234030539
ENSG00000117318 0.034525649950838 0.0496166690688509 0.151313616136618 0.0135913978977415 0.273684835051547 0.238004098296072
ENSG00000197880 0.0286641525750643 0.0491755009067699 0.0151966308370289 0.00591717345183605 0.111984531101949 0.135804746001725
ENSG00000142676 0.00507238589502155 0 0.212091134199877 0 0.169436324573836 0.160741808248908
ENSG00000011007 0.0394286413023715 0 0.0955308478451569 0.0427698153481907 0.207344413001015 0.12009843054159
